pt,en,domain,source,note
acidente aéreo,air accident.,legal-general,Noronha,
acidente de atentado; costumácia processual,contempt of court,legal-general,Noronha,
acidente de automóvel,car accident; motor accident.,legal-general,Noronha,
acidente de serviço P),labor accident; employment-related accident.,legal-general,Noronha,
acidente pessoal,casualty; personal injury.,legal-general,Noronha,
acidentes de navegação,accidents on the sea.,legal-general,Noronha,
acidentes de trabalho,occupational accident; labor accident.,legal-general,Noronha,
acidentes do trabalho,employment-related accident.,legal-general,Noronha,
acidentes do tráfego,traffic accident.,legal-general,Noronha,
acidificação,acidification,legal-general,Noronha,
aciente,on purpose; deliberately.,legal-general,Noronha,
acima,above.,legal-general,Noronha,
acima (exposto),the foregoing,legal-general,Noronha,
acima (qualificado),identified above,legal-general,Noronha,
acima de suspeita,above suspicion.,legal-general,Noronha,
acima do limite,over the limit; over the threshold.,legal-general,Noronha,
acima do par,above par.,legal-general,Noronha,
acima do valor nominal,above par.,legal-general,Noronha,
acintemente,maliciously; deliberately.,legal-general,Noronha,
acionado,defendant.,legal-general,Noronha,
acionante,plaintiff; one who brings an action.,legal-general,Noronha,
acionar,to move; sue; act; take action; convene.,legal-general,Noronha,
acionar garantia,foreclose guaranty,legal-general,Noronha,
acionista,shareholder,legal-general,Noronha,
acionista,shareholder; stockholder.,legal-general,Noronha,
Acionista (SA),Shareholder,legal-mixed,TIPS,
acionista controlador,controlling interest; controlling shareholder.,legal-general,Noronha,
acionista controlador,controlling shareholder,competition,CADE,
acionista majoritário,majority stockholder; majority shareholder.,legal-general,Noronha,
acionista minoritário,minority stockholder; minority shareholder.,legal-general,Noronha,
acionista ofertante,offering shareholder,legal-general,Noronha,
acionista pessoa física,individual shareholder,legal-general,Noronha,
acionista pessoa jurídica,corporate shareholder,legal-general,Noronha,
acionista; co-acionista,shareholder,competition,CADE,
Acionistas,Stockholders/Shareholders,legal-mixed,TIPS,
acionário,shareholder.,legal-general,Noronha,
acknowledge,"admite, reconhece, atesta",legal-general,Noronha,
acknowledgement of signature; authentication of signature; jurat,reconhecimento de firma,legal-general,Noronha,
acknowledges of agrees,admite estar ciente e de acordo,legal-general,Noronha,
acknowledgment of receipt,aviso de recebimento,legal-general,Noronha,
aclamar,to acclaim; cheer; applaud; elect by acclamation.,legal-general,Noronha,
aclamação,acclamation; cheers; applause; plaudits.,legal-general,Noronha,
aclamação,by acclamation,legal-general,Noronha,
aclarado,cleared; explained.,legal-general,Noronha,
aclarar,to clear; clarify; explain; make distinct.,legal-general,Noronha,
aclaração,clearing; explanation.,legal-general,Noronha,
acobertar,to cover; hide; conceal; protect; shield; cover up.,legal-general,Noronha,
acoger E),to receive; to accept; to recognize.,legal-general,Noronha,
acoitar,to refuge; give shelter to.,legal-general,Noronha,
acolchoado,comforter,legal-general,Noronha,
acolher,to accept; receive.,legal-general,Noronha,
"acolher (petição, recurso)",to accept (to receive without implying approval),legal-general,Noronha,
acolhida,reception; shelter; refuge.,legal-general,Noronha,
acolhimento,reception; shelter; refuge.,legal-general,Noronha,
acometida,attack; assault; attempt; enterprise.,legal-general,Noronha,
acomodado,accommodated; settled.,legal-general,Noronha,
acomodar FC),to lodge; to put at ease; to make confortable.,legal-general,Noronha,
acomodação,settlement; accommodation; arrangement.,legal-general,Noronha,
acompanhamento,follow-up; accompaniment.,legal-general,Noronha,
acompanhamento,monitor; observe; follow up on (USA); follow up (UK),legal-general,Noronha,
acompanhamento,tracking,competition,CADE,
acompanhante,companion; attendant; escort.,legal-general,Noronha,
acompanhar,to accompany; escort; follow; join; keep company.,legal-general,Noronha,
acompanhar,to keep up with; to be in keeping with the worldwide trend (tendência),legal-general,Noronha,
acompanhar,track,competition,CADE,
acompanhar o processo,to accompany the suit.,legal-general,Noronha,
acompanhar os prazos,follow up on the periods,legal-general,Noronha,
acondicionados,packed; conditioned.,legal-general,Noronha,
acondicionamento,packing; packaging.,legal-general,Noronha,
acondicionar,to condition; pack; wrap.,legal-general,Noronha,
aconselhamento,counseling,legal-general,Noronha,
aconselhar,to advise; counsel.,legal-general,Noronha,
aconselhar-se com um advogado,to consult a lawyer.,legal-general,Noronha,
acontecimento,event; happening; occurance.,legal-general,Noronha,
acorbadado,cowardly; faint-hearted; pusilanimous.,legal-general,Noronha,
acorbardamento,cowardice; discouragement.,legal-general,Noronha,
acordado,agreed; determined.,legal-general,Noronha,
acordar,to agree to,legal-general,Noronha,
acordar,to agree; resolve; pass a resolution; accede; adjust.,legal-general,Noronha,
acordo,agreement,competition,CADE,
acordo,agreement; covenant; accord; combination; concord.,legal-general,Noronha,
acordo,deed of arrangement (em concordata); agreement; settlement (em processo),legal-general,Noronha,
acordo,settlement,competition,CADE,
Acordo / Entendimento,Agreement,legal-mixed,TIPS,"A mutual understanding or arrangement, which may be oral or written."
acordo amigável,amicable; out of court settlement; amicable settlement,legal-general,Noronha,
acordo antialta P),price freeze agreement between government and private sector.,legal-general,Noronha,
acordo coletivo de trabalho,collective bargaining agreement,legal-general,Noronha,
acordo colusivo,collusive agreement,competition,CADE,
acordo comercial,trade agreement; commercial treaty.,legal-general,Noronha,
acordo comum,mutual agreement,legal-general,Noronha,
acordo de acionista,shareholders' agreement,competition,CADE,
acordo de acionistas,shareholders' agreement,legal-general,Noronha,
acordo de acionistas,shareholders' agreement.,legal-general,Noronha,
acordo de adesão P),collective labor agreement.,legal-general,Noronha,
acordo de agenciamento de administração fiscal,agency agreement,legal-general,Noronha,
acordo de agenciamento de conversão e pagamento,conversion and paying agency agreement,legal-general,Noronha,
acordo de associação,joint venture agreement,legal-general,Noronha,
acordo de cartel,cartel agreement,competition,CADE,
acordo de cartelização,cartel agreement,competition,CADE,
acordo de cavalheiros,gentleman's agreement,legal-general,Noronha,
Acordo de Confidencialidade,Non-Disclosure Agreement (NDA),legal-mixed,TIPS,Protection of sensitive trade secrets.
Acordo de Controle de Concentração,Merger Control Agreement,competition,CADE,
acordo de cooperação,teaming agreement,legal-general,Noronha,
acordo de cooperação técnica,technical cooperation agreement,competition,CADE,
acordo de credores P),creditor's composition in bankruptcy.,legal-general,Noronha,
acordo de leniência,leniency agreement,competition,CADE,
acordo de leniência,leniency agreement.,competition,CADE,
acordo de não concorrência,non-competition agreement,legal-general,Noronha,
acordo de não concorrência,restrictive covenant,competition,CADE,
Acordo de Não Persecução Penal,Non Prosecution Agreement,competition,CADE,
Acordo de Nível de Serviço,Service Level Agreements,competition,CADE,
acordo de participação,participation agreement; partnership agreement,legal-general,Noronha,
acordo de princípio P),memorandum of understanding; heads of agreement.,legal-general,Noronha,
Acordo de Quotistas,Shareholder’s Agreement,legal-mixed,TIPS,
acordo de redução de dívida,debt-reduction agreement,legal-general,Noronha,
acordo de sigilo,nondisclosure agreement,legal-general,Noronha,
acordo de vontades,mutual agreement,legal-general,Noronha,
acordo de vontades,mutual consent; mutual manifestation of assent; meeting of minds.,legal-general,Noronha,
acordo de voto,voting agreement,legal-general,Noronha,
acordo em controle de concentração,merger control agreement,competition,CADE,
acordo em controle de concentrações,merger control agreement,competition,CADE,
acordo epistolar,letter agreement,legal-general,Noronha,
acordo extra-judicial,out-of-court settlement,legal-general,Noronha,
Acordo Geral sobre Tarifas Aduaneiras e Comércio,General Agreement on Tariffs and Trade,competition,CADE,
acordo integral,entire agreement,legal-general,Noronha,
Acordo Integral,Whole Agreement,legal-mixed,TIPS,Contractual exhaustivity.
